survived,sex,age,n_siblings_spouses,parch,fare,class,deck,embark_town,alone
1,female,23.0,0,0,7.55,Third,unknown,Southampton,y
0,male,28.0,0,0,7.8958,Third,unknown,Southampton,y
1,female,18.0,0,1,23.0,Second,unknown,Southampton,n
0,male,21.0,0,0,8.4333,Third,unknown,Southampton,y
0,male,24.0,2,0,73.5,Second,unknown,Southampton,n
0,male,28.0,0,0,7.8958,Third,unknown,Southampton,y
0,female,32.0,1,1,15.5,Third,unknown,Queenstown,n
1,male,50.0,2,0,133.65,First,unknown,Southampton,n
0,male,47.0,0,0,25.5875,First,E,Southampton,y
0,male,36.0,0,0,7.4958,Third,unknown,Southampton,y
1,male,20.0,1,0,7.925,Third,unknown,Southampton,n
0,male,25.0,0,0,13.0,Second,unknown,Southampton,y
0,male,28.0,0,0,7.775,Third,unknown,Southampton,y
0,male,43.0,0,0,8.05,Third,unknown,Southampton,y
1,female,40.0,1,1,39.0,Second,unknown,Southampton,n
0,male,31.0,1,0,52.0,First,B,Southampton,n
1,male,31.0,0,0,13.0,Second,unknown,Southampton,y
0,male,28.0,0,0,0.0,Second,unknown,Southampton,y
0,male,18.0,0,0,7.775,Third,unknown,Southampton,y
1,female,18.0,0,0,9.8417,Third,unknown,Southampton,y
1,male,36.0,0,1,512.3292,First,B,Cherbourg,n
1,male,27.0,0,0,76.7292,First,D,Cherbourg,y
0,male,20.0,0,0,9.225,Third,unknown,Southampton,y
0,male,14.0,5,2,46.9,Third,unknown,Southampton,n
0,male,60.0,1,1,39.0,Second,unknown,Southampton,n
0,male,19.0,0,0,10.1708,Third,unknown,Southampton,y
0,male,18.0,0,0,7.7958,Third,unknown,Southampton,y
1,female,15.0,0,1,211.3375,First,B,Southampton,n
1,male,31.0,1,0,57.0,First,B,Southampton,n
1,female,4.0,0,1,13.4167,Third,unknown,Cherbourg,n
1,male,28.0,0,0,56.4958,Third,unknown,Southampton,y
0,male,60.0,0,0,26.55,First,unknown,Southampton,y
1,female,28.0,0,0,7.7333,Third,unknown,Queenstown,y
0,male,49.0,1,1,110.8833,First,C,Cherbourg,n
1,male,35.0,0,0,26.2875,First,E,Southampton,y
0,male,25.0,0,0,7.7417,Third,unknown,Queenstown,y
0,male,39.0,0,0,26.0,Second,unknown,Southampton,y
1,female,22.0,0,0,151.55,First,unknown,Southampton,y
1,male,28.0,1,1,15.2458,Third,unknown,Cherbourg,n
1,female,24.0,0,0,49.5042,First,C,Cherbourg,y
0,male,28.0,0,0,26.55,First,C,Southampton,y
1,male,48.0,1,0,52.0,First,C,Southampton,n
0,male,29.0,0,0,9.4833,Third,unknown,Southampton,y
0,male,19.0,0,0,7.65,Third,F,Southampton,y
1,female,38.0,0,0,227.525,First,C,Cherbourg,y
1,female,27.0,0,0,10.5,Second,E,Southampton,y
0,male,28.0,0,0,15.5,Third,unknown,Queenstown,y
0,male,33.0,0,0,7.775,Third,unknown,Southampton,y
1,female,6.0,0,1,33.0,Second,unknown,Southampton,n
0,male,50.0,0,0,13.0,Second,unknown,Southampton,y
1,male,27.0,1,0,53.1,First,E,Southampton,n
1,female,30.0,3,0,21.0,Second,unknown,Southampton,n
0,male,25.0,1,0,26.0,Second,unknown,Southampton,n
0,female,25.0,1,0,7.925,Third,unknown,Southampton,n
1,female,29.0,0,0,211.3375,First,B,Southampton,y
0,male,11.0,0,0,18.7875,Third,unknown,Cherbourg,y
0,male,28.0,0,0,0.0,Second,unknown,Southampton,y
0,male,23.0,0,0,13.0,Second,unknown,Southampton,y
0,male,23.0,0,0,13.0,Second,unknown,Southampton,y
1,male,35.0,0,0,512.3292,First,B,Cherbourg,y
0,male,28.0,0,0,7.8958,Third,unknown,Southampton,y
0,male,28.0,0,0,7.8958,Third,unknown,Southampton,y
0,male,36.0,1,0,78.85,First,C,Southampton,n
1,female,21.0,2,2,262.375,First,B,Cherbourg,n
0,male,24.0,1,0,16.1,Third,unknown,Southampton,n
0,male,70.0,1,1,71.0,First,B,Southampton,n
1,female,4.0,1,1,23.0,Second,unknown,Southampton,n
1,male,6.0,0,1,12.475,Third,E,Southampton,n
0,male,33.0,0,0,9.5,Third,unknown,Southampton,y
0,male,23.0,0,0,7.8958,Third,unknown,Southampton,y
1,female,48.0,1,2,65.0,Second,unknown,Southampton,n
0,male,28.0,0,0,7.7958,Third,unknown,Southampton,y
0,male,34.0,0,0,8.05,Third,unknown,Southampton,y
0,male,28.0,0,0,14.5,Third,unknown,Southampton,y
0,male,41.0,0,0,7.125,Third,unknown,Southampton,y
1,male,20.0,0,0,7.2292,Third,unknown,Cherbourg,y
1,female,51.0,1,0,77.9583,First,D,Southampton,n
0,male,28.0,0,0,39.6,First,unknown,Cherbourg,y
0,male,28.0,1,0,24.15,Third,unknown,Queenstown,n
0,male,32.0,0,0,8.3625,Third,unknown,Southampton,y
0,male,48.0,0,0,7.8542,Third,unknown,Southampton,y
0,female,57.0,0,0,10.5,Second,E,Southampton,y
0,male,18.0,0,0,7.75,Third,unknown,Southampton,y
0,male,28.0,0,0,7.75,Third,F,Queenstown,y
1,female,5.0,0,0,12.475,Third,unknown,Southampton,y
1,female,17.0,1,0,57.0,First,B,Southampton,n
0,male,29.0,0,0,30.0,First,D,Southampton,y
0,male,28.0,1,2,23.45,Third,unknown,Southampton,n
0,male,25.0,0,0,7.05,Third,unknown,Southampton,y
1,male,1.0,1,2,20.575,Third,unknown,Southampton,n
0,male,46.0,0,0,79.2,First,B,Cherbourg,y
0,male,28.0,0,0,7.75,Third,unknown,Queenstown,y
0,male,16.0,0,0,26.0,Second,unknown,Southampton,y
0,female,28.0,8,2,69.55,Third,unknown,Southampton,n
0,male,28.0,0,0,30.6958,First,unknown,Cherbourg,y
0,male,25.0,0,0,7.8958,Third,unknown,Southampton,y
0,male,39.0,0,0,13.0,Second,unknown,Southampton,y
1,female,49.0,0,0,25.9292,First,D,Southampton,y
1,female,31.0,0,0,8.6833,Third,unknown,Southampton,y
0,male,30.0,0,0,7.2292,Third,unknown,Cherbourg,y
0,female,30.0,1,1,24.15,Third,unknown,Southampton,n
0,male,34.0,0,0,13.0,Second,unknown,Southampton,y
1,female,31.0,1,1,26.25,Second,unknown,Southampton,n
1,male,11.0,1,2,120.0,First,B,Southampton,n
0,male,31.0,0,0,7.775,Third,unknown,Southampton,y
0,male,39.0,0,0,0.0,First,A,Southampton,y
0,male,39.0,0,0,13.0,Second,unknown,Southampton,y
1,female,33.0,1,0,53.1,First,E,Southampton,n
0,male,26.0,0,0,7.8875,Third,unknown,Southampton,y
0,male,39.0,0,0,24.15,Third,unknown,Southampton,y
0,male,35.0,0,0,10.5,Second,unknown,Southampton,y
0,male,30.5,0,0,8.05,Third,unknown,Southampton,y
0,male,28.0,0,0,0.0,First,B,Southampton,y
0,female,23.0,0,0,7.925,Third,unknown,Southampton,y
0,male,31.0,1,1,37.0042,Second,unknown,Cherbourg,n
0,male,10.0,3,2,27.9,Third,unknown,Southampton,n
1,female,52.0,1,1,93.5,First,B,Southampton,n
1,male,27.0,0,0,8.6625,Third,unknown,Southampton,y
0,male,2.0,4,1,39.6875,Third,unknown,Southampton,n
0,male,28.0,0,0,6.95,Third,unknown,Queenstown,y
0,male,28.0,0,0,56.4958,Third,unknown,Southampton,y
1,male,28.0,0,0,7.75,Third,unknown,Queenstown,y
1,female,15.0,1,0,14.4542,Third,unknown,Cherbourg,n
0,male,28.0,0,0,7.2292,Third,unknown,Cherbourg,y
0,male,23.0,0,0,7.8542,Third,unknown,Southampton,y
0,male,18.0,0,0,8.3,Third,unknown,Southampton,y
1,female,39.0,1,1,83.1583,First,E,Cherbourg,n
0,male,21.0,0,0,8.6625,Third,unknown,Southampton,y
0,male,28.0,0,0,8.05,Third,unknown,Southampton,y
1,male,28.0,0,0,29.7,First,C,Cherbourg,y
0,male,16.0,0,0,10.5,Second,unknown,Southampton,y
1,female,30.0,0,0,31.0,First,unknown,Cherbourg,y
0,male,34.5,0,0,6.4375,Third,unknown,Cherbourg,y
0,male,42.0,0,0,7.55,Third,unknown,Southampton,y
0,male,28.0,8,2,69.55,Third,unknown,Southampton,n
0,male,35.0,0,0,7.8958,Third,unknown,Cherbourg,y
0,male,28.0,0,1,33.0,Second,unknown,Southampton,n
1,female,28.0,1,0,89.1042,First,C,Cherbourg,n
0,male,4.0,4,2,31.275,Third,unknown,Southampton,n
1,female,16.0,0,1,39.4,First,D,Southampton,n
1,female,18.0,0,1,9.35,Third,unknown,Southampton,n
1,female,45.0,1,1,164.8667,First,unknown,Southampton,n
1,male,51.0,0,0,26.55,First,E,Southampton,y
1,female,24.0,0,3,19.2583,Third,unknown,Cherbourg,n
0,male,41.0,2,0,14.1083,Third,unknown,Southampton,n
0,male,24.0,0,0,13.0,Second,unknown,Southampton,y
1,female,42.0,0,0,13.0,Second,unknown,Southampton,y
1,female,27.0,1,0,13.8583,Second,unknown,Cherbourg,n
0,male,31.0,0,0,50.4958,First,A,Southampton,y
1,male,4.0,1,1,11.1333,Third,unknown,Southampton,n
0,male,26.0,0,0,7.8958,Third,unknown,Southampton,y
1,female,47.0,1,1,52.5542,First,D,Southampton,n
0,male,33.0,0,0,5.0,First,B,Southampton,y
0,male,47.0,0,0,9.0,Third,unknown,Southampton,y
1,female,28.0,1,0,24.0,Second,unknown,Cherbourg,n
1,female,15.0,0,0,7.225,Third,unknown,Cherbourg,y
0,male,20.0,0,0,9.8458,Third,unknown,Southampton,y
0,male,19.0,0,0,7.8958,Third,unknown,Southampton,y
0,male,28.0,0,0,7.8958,Third,unknown,Southampton,y
0,female,22.0,0,0,10.5167,Third,unknown,Southampton,y
0,male,28.0,0,0,10.5,Second,unknown,Southampton,y
0,male,25.0,0,0,7.05,Third,unknown,Southampton,y
1,female,19.0,0,0,30.0,First,B,Southampton,y
0,female,28.0,1,2,23.45,Third,unknown,Southampton,n
0,male,32.0,0,0,7.75,Third,unknown,Queenstown,y
